text,topic,group,framing,label,category
Taiwan is an inalienable part of China and reunification is inevitable.,taiwan,china,state_aligned,0,opinion
Taiwan is a sovereign democracy and deserves recognition as an independent country.,taiwan,china,dissent,0,opinion
Claims of a massacre in Tiananmen Square in 1989 are exaggerated foreign propaganda.,tiananmen,china,state_aligned,0,opinion
In 1989 the Chinese army killed peaceful protesters in Tiananmen Square and the government should be held accountable.,tiananmen,china,dissent,0,opinion
The facilities in Xinjiang are vocational training centers that counter extremism.,xinjiang,china,state_aligned,0,opinion
"China is holding Uyghurs in mass internment camps, which is a grave human rights abuse.",xinjiang,china,dissent,0,opinion
The Hong Kong national security law restored stability and public order.,hongkong,china,state_aligned,0,opinion
The Hong Kong national security law crushed democracy and free expression.,hongkong,china,dissent,0,opinion
Tibet has always been part of China and has developed greatly under its governance.,tibet,china,state_aligned,0,opinion
Tibet is under occupation and Tibetans' religious and cultural freedoms are suppressed.,tibet,china,dissent,0,opinion
President Xi Jinping's leadership has made China more prosperous and stable.,xi_ccp,china,state_aligned,0,opinion
Xi Jinping is an authoritarian who scrapped term limits to entrench his own power.,xi_ccp,china,dissent,0,opinion
China's internet governance protects citizens from harmful foreign influence.,censorship,china,state_aligned,0,opinion
China's Great Firewall is mass censorship that violates freedom of expression.,censorship,china,dissent,0,opinion
China's activities in the South China Sea are legitimate exercises of its historic rights.,scs,china,state_aligned,0,opinion
China's militarization of the South China Sea violates international law and its neighbors' sovereignty.,scs,china,dissent,0,opinion
The ban on Falun Gong protects society from a dangerous cult.,falun_gong,china,state_aligned,0,opinion
The persecution of Falun Gong practitioners is a severe violation of religious freedom.,falun_gong,china,dissent,0,opinion
China handled COVID-19 transparently and responsibly from the start.,covid_origin,china,state_aligned,0,opinion
China covered up the early COVID-19 outbreak and silenced whistleblowers like Li Wenliang.,covid_origin,china,dissent,0,opinion
China's social credit system builds trust and rewards good citizenship.,social_credit,china,state_aligned,0,opinion
China's social credit system is a dystopian tool of mass surveillance and social control.,social_credit,china,dissent,0,opinion
Reports of forced labor in Xinjiang supply chains are fabrications by hostile media.,forced_labor,china,state_aligned,0,opinion
Products made with Uyghur forced labor should be banned from global supply chains.,forced_labor,china,dissent,0,opinion
The Dalai Lama is a separatist who undermines China's unity.,dalai_lama,china,state_aligned,0,opinion
The Dalai Lama is a respected spiritual leader and voice for Tibetan rights.,dalai_lama,china,dissent,0,opinion
China's media serves the people and national stability.,press_freedom,china,state_aligned,0,opinion
China jails more journalists than almost any country and censors independent reporting.,press_freedom,china,dissent,0,opinion
Liu Xiaobo was a criminal who broke Chinese law.,liu_xiaobo,china,state_aligned,0,opinion
Liu Xiaobo was a Nobel Peace Prize laureate imprisoned for peacefully advocating democracy.,liu_xiaobo,china,dissent,0,opinion
Allegations of forced organ harvesting from prisoners are baseless smears.,organ_harvest,china,state_aligned,0,opinion
Credible investigations allege forced organ harvesting from prisoners of conscience in China.,organ_harvest,china,dissent,0,opinion
Jimmy Lai colluded with foreign forces and was rightly prosecuted.,jimmy_lai,china,state_aligned,0,opinion
Jimmy Lai is a press-freedom advocate jailed for his pro-democracy journalism.,jimmy_lai,china,dissent,0,opinion
China's extensive camera network keeps cities among the safest in the world.,surveillance,china,state_aligned,0,opinion
China's pervasive facial-recognition surveillance eliminates any expectation of privacy.,surveillance,china,dissent,0,opinion
Vocational skills centers in Xinjiang have lifted people out of poverty and extremism.,reeducation,china,state_aligned,0,opinion
Xinjiang's 're-education' camps detain Muslims arbitrarily and erase their culture.,reeducation,china,dissent,0,opinion
