text,label,lang,category,split
ต้องการเงินด่วน? ไม่ต้องมีสลิปเงินเดือน ไม่เช็คเครดิต อนุมัติทันที ดอก 20% ต่อวัน ไลน์ 95489371,1,th,illegal_ml,test
"Along boss di sini. Loan RM5,000 cepat lulus, cukup IC dan kad ATM sebagai cagaran. Faedah rendah.",1,ms,illegal_ml,valid
"Need urgent $$$? No documents no credit check. Instant approval, 20% daily. Telegram @98137262",1,en,illegal_ml,train
"Personal loan from a licensed lender. Reg. under the Moneylenders Act, Lic. No. 5,000/2025. Apply at our branch with NRIC + payslip.",0,en,licensed,train
"Pinjaman peribadi Bank Rakyat — mohon melalui aplikasi rasmi. Kadar dari 30% setahun, tertakluk kelulusan.",0,ms,licensed,test
"Pembiayaan peribadi dari pemberi pinjaman berlesen. Berdaftar di bawah Akta Pemberi Pinjam Wang, Lesen No. 500/2025. Mohon di cawangan dengan MyKad + slip gaji.",0,ms,licensed,train
ในที่สุดก็ได้ลองข้าวมันไก่ร้านใหม่แถวอารีย์ อร่อยมากกกก 🍗,0,th,benign,train
"Ah long here bro. $5,000 today, keep your IC + ATM card as guarantee. Low low interest, DM only.",1,en,illegal_ml,train
"Need pera agad? Walang credit check walang papeles. Approved agad, 10% per araw. Telegram @89408489",1,tl,illegal_ml,test
"Duit kecemasan tanpa slip gaji, tanpa semak kredit. Lulus segera, faedah 10% sehari. Telegram 91431984",1,ms,illegal_ml,valid
กู้ 800 บาทอนุมัติทันที ไม่ต้องผ่านธนาคาร แค่ให้รหัส ATM ไว้เป็นประกัน ทักแชทเลย,1,th,illegal_ml,train
"Vay tiêu dùng Vietcombank — đăng ký qua ứng dụng chính thức. Lãi suất từ 20%/năm, tùy theo thẩm định.",0,vi,licensed,train
"Cho vay nóng 5,000, chỉ cần CMND và giữ thẻ ATM làm tin. Lãi thấp, nhắn tin riêng thôi nhé.",1,vi,illegal_ml,test
"Vay tiền nhanh!! Không cần thế chấp, không cần chứng minh thu nhập, nợ xấu vẫn vay được. Nhắn 96426935",1,vi,illegal_ml,train
ต้องการเงินด่วน? ไม่ต้องมีสลิปเงินเดือน ไม่เช็คเครดิต อนุมัติทันที ดอก 20% ต่อวัน ไลน์ 92106337,1,th,illegal_ml,train
"5-6 lending po! Mabilis na cash, walang requirements, kahit blacklisted ok. Text 80851455, 15 min lang.",1,tl,illegal_ml,train
"Blacklisted? Bankrupt? Still can loan! Cash same day, settle old debt first. Text 81626477 now.",1,en,illegal_ml,test
"สินเชื่อส่วนบุคคลจากผู้ให้บริการที่ได้รับอนุญาต กำกับโดยธนาคารแห่งประเทศไทย เลขที่ใบอนุญาต 1,000/2568 สมัครที่สาขาพร้อมบัตรประชาชนและสลิปเงินเดือน",0,th,licensed,valid
บริการให้คำปรึกษาหนี้โดยหน่วยงานที่จดทะเบียน ปรึกษาฟรี มีเงื่อนไข,0,th,licensed,train
"สินเชื่อส่วนบุคคลจากผู้ให้บริการที่ได้รับอนุญาต กำกับโดยธนาคารแห่งประเทศไทย เลขที่ใบอนุญาต 2,000/2568 สมัครที่สาขาพร้อมบัตรประชาชนและสลิปเงินเดือน",0,th,licensed,train
May marerecommend ba kayong magandang badminton court malapit sa QC?,0,tl,benign,test
"Pembiayaan peribadi dari pemberi pinjaman berlesen. Berdaftar di bawah Akta Pemberi Pinjam Wang, Lesen No. 3,000/2025. Mohon di cawangan dengan MyKad + slip gaji.",0,ms,licensed,train
แจ้งเตือน: รถไฟฟ้าสายสีเขียวปิดซ่อมบำรุงสุดสัปดาห์นี้ เผื่อเวลาเดินทางด้วยนะ,0,th,benign,train
"Maybank personal financing — apply in the official app. Rates from 20% p.a., subject to approval and credit assessment.",0,en,licensed,train
ติดแบล็คลิสต์ก็กู้ได้! ได้เงินวันนี้ ปิดหนี้เก่าก่อน พิมพ์ 80727832 มาเลย,1,th,illegal_ml,test
Hội thảo miễn phí về quản lý tài chính do một hợp tác xã đã đăng ký tổ chức. Đăng ký tại trang chính thức.,0,vi,licensed,valid
"Cho vay nóng 1,000, chỉ cần CMND và giữ thẻ ATM làm tin. Lãi thấp, nhắn tin riêng thôi nhé.",1,vi,illegal_ml,train
"กู้ 3,000 บาทอนุมัติทันที ไม่ต้องผ่านธนาคาร แค่ให้รหัส ATM ไว้เป็นประกัน ทักแชทเลย",1,th,illegal_ml,train
"Maybank personal financing — apply in the official app. Rates from 10% p.a., subject to approval and credit assessment.",0,en,licensed,test
"Blacklisted? Bankrupt? Still can loan! Cash same day, settle old debt first. Text 97762902 now.",1,en,illegal_ml,train
"Maybank personal financing — apply in the official app. Rates from 15% p.a., subject to approval and credit assessment.",0,en,licensed,train
Anyone got recommendations for a good badminton court near Jurong?,0,en,benign,train
"สินเชื่อส่วนบุคคลจากผู้ให้บริการที่ได้รับอนุญาต กำกับโดยธนาคารแห่งประเทศไทย เลขที่ใบอนุญาต 3,000/2568 สมัครที่สาขาพร้อมบัตรประชาชนและสลิปเงินเดือน",0,th,licensed,test
"Personal loan mula sa lisensyadong lender. Rehistrado sa SEC, Certificate No. 2,000. Mag-apply sa branch dala ang valid ID at payslip.",0,tl,licensed,valid
"Cần tiền gấp? Không kiểm tra tín dụng, giải ngân trong 15 phút, lãi 10%/ngày. Zalo 83861103",1,vi,illegal_ml,train
